model_id,model_name,target,precision,recall,f1,support,tp,fp,fn,tn
M1,TF-IDF + One-vs-Rest Logistic Regression,bias,0.2857142857142857,0.6666666666666666,0.4,6,4,10,2,6
M2,bert-base-multilingual-cased,bias,0.0,0.0,0.0,6,0,0,6,16
M3,xlm-roberta-base,bias,0.2727272727272727,1.0,0.42857142857142855,6,6,16,0,0
M1,TF-IDF + One-vs-Rest Logistic Regression,manipulation,0.7142857142857143,0.5555555555555556,0.625,9,5,2,4,11
M2,bert-base-multilingual-cased,manipulation,0.0,0.0,0.0,9,0,0,9,13
M3,xlm-roberta-base,manipulation,0.0,0.0,0.0,9,0,0,9,13
M1,TF-IDF + One-vs-Rest Logistic Regression,missing_human_escalation,0.0,0.0,0.0,0,0,0,0,22
M2,bert-base-multilingual-cased,missing_human_escalation,0.0,0.0,0.0,0,0,0,0,22
M3,xlm-roberta-base,missing_human_escalation,0.0,0.0,0.0,0,0,0,0,22
M1,TF-IDF + One-vs-Rest Logistic Regression,policy_issue,0.14285714285714285,0.2,0.16666666666666666,5,1,6,4,11
M2,bert-base-multilingual-cased,policy_issue,0.0,0.0,0.0,5,0,0,5,17
M3,xlm-roberta-base,policy_issue,0.0,0.0,0.0,5,0,0,5,17
M1,TF-IDF + One-vs-Rest Logistic Regression,transparency_issue,0.5714285714285714,0.8,0.6666666666666666,5,4,3,1,14
M2,bert-base-multilingual-cased,transparency_issue,0.6666666666666666,0.4,0.5,5,2,1,3,16
M3,xlm-roberta-base,transparency_issue,0.0,0.0,0.0,5,0,0,5,17
